Question,Answer,Category
why was the shift to universal health coverage necessary,"To ensure that all Kenyans have access to quality, affordable and comprehensive quality health services from health promotion to prevention, curative, rehabilitation, and palliative care without suffering financial hardship.",Understanding Social Health Authority (SHA)
what is social health insurance shi,It is a form of health financing mechanism based on risk and resource pooling to increase efficiency of the healthcare system that ensures that people pay for premiums into a pooled fund that can be used for those who need the services at no cost when they need the services.,Understanding Social Health Authority (SHA)
what are the principles of social health insurance,"Accessible, quality, affordable healthcare services for all, Well-defined benefit package anchored in law, Mandatory registration and contribution, Equity.",Understanding Social Health Authority (SHA)
why is social health insurance important,"An efficient way of managing health funds – able to set and monitor administrative costs, An equitable way of managing health funds – funding based on need, Direct contributions from beneficiaries improves participation and transparency, Constitutional provisions exist allowing for targeting of funds for specific priorities/geographical area.",Understanding Social Health Authority (SHA)
what are the  health laws,"1. The Social Health Insurance Law (2023) – Creating institutions and legislating the procedures for driving social health insurance in Kenya.
2. The Digital Health Act (2023) – Creating the enabling environment for development of digital platform for integrating health system needs and database for citizens for purposes of health care access.
3. Facility Improvement Financing Law (2023) – Specifically developed for public health facilities to ensure they are well financed to offer health services to Kenyans, and are well positioned to compete with private healthcare facilities.
4. Primary Care Networks Law (2023) – To create the necessary legislation for development of collaborative mechanism for related healthcare providers in the sub-county level, ensuring collaboration for service delivery and referral mechanisms.",Institutions Created by UHC Laws and Transition
what informs the proposed reforms towards the shi why was the transition to sha necessary instead of revamping nhif,"• The ultimate goal of a social health insurance system is to provide equitable and affordable access to healthcare services for all members of society.
• To increase health insurance coverage.
• Existence of fragmented pools targeting different populations creates inefficiencies, resulting in increased healthcare costs. SHI proposes 3 consolidated pools to address inefficiencies.
• High number of Kenyans being subjected to financial constraints due to catastrophic illnesses.
• Promote equity and fairness in contribution, through households and not individuals.",Institutions Created by UHC Laws and Transition
what is the difference between sha and shif,"SHA is the manager of the 3 Funds: PHCF, SHIF, and ECCF. The 3 funds have different mandates and their monies have different sources. The registration of members is done by SHA.",Institutions Created by UHC Laws and Transition
what is the transition process from nhif to sha,"Transition clause 2 (1) provides for the transfer of rights, powers, liabilities, and duties to be taken over by SHA after the effective date of the Act i.e., 22nd November 2023.",Institutions Created by UHC Laws and Transition
how will the transition process from nhif to sha be done,"The Transition Committee, created in February 2024, will work for 6 months and the two boards (NHIF and SHA) in consultation with the Ministry of Health ensure the transition process is completed within the 12 months provided for in the law. The Committee will develop legal and institutional framework; guidelines and operational mechanism in regard to assets and liabilities, human resources and pensions and other staff benefits; and develop a clear roadmap for the winding up of NHIF by July 2024.",Institutions Created by UHC Laws and Transition
are the three bodies under sha independent with own structures,"There will only be one authority to manage three funds under i.e., The Primary Care Fund, The Social Health Insurance Fund, and the Emergency, Chronic and Critical Illness Fund.",Institutions Created by UHC Laws and Transition
will the current running contracts with suppliers and health care providers be affected by the transition process,The contracts and other legal obligations of NHIF have been taken over by SHA. The transition committee will work on seamless transition of the contractual obligations to ensure uninterrupted service delivery.,Institutions Created by UHC Laws and Transition
are nhif assets and liabilities automatically shas,"Yes, Section 2(1) of the transition provisions allows the assets and liabilities to be automatically transferred to SHA.",Institutions Created by UHC Laws and Transition
how will the transition process ensure continuity of services to kenyans,"The SHI Regulations provide that all paid-up members and running contracts with NHIF will run until June 30th, 2024, and the SHA will take over with the new rates and benefits at 1st July 2024, hence no services will be disrupted.",Institutions Created by UHC Laws and Transition
what happens to contributions paid in advance by self employed persons if the means testing determine their rates to be lower or higher than ksh ,"The SHA will inform the beneficiary of the difference between what is paid and the difference which is supposed to be topped up for the year if less than the required premium, or roll over to the subsequent year if in surplus.",Institutions Created by UHC Laws and Transition
how will the healthcare contracts be seamlessly transitioned in view of the new benefit package,New contracts under SHA will be issued to empaneled healthcare providers under section 33(3) of the SHI Law 2023.,Institutions Created by UHC Laws and Transition
will we remain our regionalbranch network,Branch and Regional Network will be determined by the requirements of the SHI under the SHA Act 2023.,Institutions Created by UHC Laws and Transition
will there be rebranding of the new entities once they come on board,The Boards of each entity established under the UHC Laws will develop their own distinct brands according to needs.,Institutions Created by UHC Laws and Transition
what happens to the ict infrastructure,"The current infrastructure automatically changes ownership to the SHA Board, and retention of the same will be on needs basis. For retiring infrastructure, Public Procurement and Assets Disposal Act provisions will be used for disposing them off.",Institutions Created by UHC Laws and Transition
how will staff be affected by the transition process,SHA will recruit their own staff in line with the approved organizational establishment. 6(3) allows NHIF qualified staff to apply for declared vacancies. 6(4) will have staff undergo a process to gauge their suitability and thereby transition to SHA on a priority basis. 5(a)(b) allows staff to retire or be redeployed elsewhere in the public services respectively.,NHIF Staff Considerations During Transition
what happens to staff who will not be absorbed by the sha,The law and ILO procedures allow that no current employees of NHIF will be disadvantaged during the transition process. Hence those who will not be absorbed by the SHA will either transit to the public service or retire willingly.,NHIF Staff Considerations During Transition
in the event that sha remuneration package is lower than that of nhif how will this impact the transitioned staff,The employment and labour laws are very clear on this. The salary of the employees under SHA will be binding as it is a newly established legal entity.,NHIF Staff Considerations During Transition
what becomes of the staff pension contributions for staff who transition to sha and those who are deployed to other public service sectors,Matters of pension are highly regulated under Retirement Benefits Authority (RBA) and continuity on scheme contributions and benefits will not be lost by NHIF staff during transition.,NHIF Staff Considerations During Transition
will the union be fully involved in the transition process,Unions will be involved during transition by both the Transition Committee and NHIF and SHA boards. Non-unionized officers of NHIF will also be represented and their concerns taken care of.,NHIF Staff Considerations During Transition
will there be forced exits,"Under the SHI Act, there is no provision for forced retirement.",NHIF Staff Considerations During Transition
what is primary health care,"It is essential health care based on practical, scientifically sound and socially acceptable methods and technology that is made universally accessible to individuals and families in the community.",Primary Health Care & the PHC Fund
what is primary health care fund,The fund shall be used to purchase primary healthcare services from health facilities.,Primary Health Care & the PHC Fund
who is eligible to access the primary healthcare fund,All persons residing in Kenya.,Primary Health Care & the PHC Fund
how will i register for the primary healthcare fund,Registration for Social Health Insurance will be an automatic registration for the Primary Healthcare Fund.,Primary Health Care & the PHC Fund
will i have to contribute to the primary healthcare fund what other sources of funds are there,"No, there will be no individual contributions to the Primary Healthcare Fund. The main source of funding will be allocation from the government and grants.",Primary Health Care & the PHC Fund
when will i use the primary healthcare fund,"When visiting level 2,3 facilities or upon referral by community health promoters, where patients will be treated for free.",Primary Health Care & the PHC Fund
what is the maximum amount the primary healthcare fund can cover,The expenditure incurred on the fund shall be limited to annual budget estimates prepared by the authority at the beginning of the financial year to which they relate.,Primary Health Care & the PHC Fund
what is the emergency chronic and critical illness fund,This is a fund established to provide money to pay the costs of management of chronic illnesses after depletion of the SHI over and to cover the costs of emergency treatment.,"Emergency, Chronic, and Critical Illness Fund"
who will be eligible to register to the emergency chronic and critical illness fund,"An individual registered to the Social Health Authority will be able to access medical services under the Emergency, Chronic and Critical Illness Fund.","Emergency, Chronic, and Critical Illness Fund"
when will i start benefiting from the emergency chronic and critical illness fund,Upon lapsing of an individual’s benefit limits under the Social Health Insurance Fund.,"Emergency, Chronic, and Critical Illness Fund"
how will my benefit package look like in the emergency chronic and critical illness fund,The healthcare services specified in the essential benefits package provided in the fourth schedule of the SHI Regulations 2024.,"Emergency, Chronic, and Critical Illness Fund"
which institution will be responsible for management of the emergency chronic and critical illness fund,The Social Health Authority has been established for the management of Social Health Insurance in Kenya. The expenditure incurred on the Fund shall be limited to annual budget estimates prepared by the Authority at the beginning of the financial year to which they relate.,"Emergency, Chronic, and Critical Illness Fund"
who will be eligible to register for sha,Every Kenyan as well as non-Kenyans residing in Kenya is eligible and will be required to register.,"Registration, Means Testing & Contributions"
do i need to register afresh as an sha member if i was already an nhif member,Yes.,"Registration, Means Testing & Contributions"
will there be any costs associated with registering afresh,None.,"Registration, Means Testing & Contributions"
can individuals choose not to be part of social health insurance,No. It is a mandatory requirement.,"Registration, Means Testing & Contributions"
will nhif members automatically transition to be sha members what of the payments that were already paid by members,"NHIF members will have to register afresh with SHA. Regarding already paid contributions, the Transition Committee will provide the detailed guidelines but it is expected that there shall not be any problem between the transitions of current contributions to the new means testing- generated contribution rates.","Registration, Means Testing & Contributions"
how will i register for shi,"The application shall be made by filling SHA form and shall be accompanied by: (a) a copy of the national identification document of the applicant; or (b) in the case of a person without a national identification document, any other document as may be approved by the authority.","Registration, Means Testing & Contributions"
how do i add dependents and are there limits on the number of children,Dependents will be declared during registration and those born after registered within 14 days after birth. There will be no limits to the number of children under a contributor.,"Registration, Means Testing & Contributions"
does it cover more than one wife,"Yes, the SHI Act provides for more than one spouse provided that the total income of all spouses and members is captured for purposes of premium determination.","Registration, Means Testing & Contributions"
if registration is per household does it mean only one spouse contributes,"The decision of the person within the household to contribute premiums will be decided by the household members for the case of non-salaried members, and will be deducted from each salaried member if under salaried employment.","Registration, Means Testing & Contributions"
what happens to the dependents if a member passes on,The member is required to notify the Social Health Authority in case of a demise of a dependent or contributor's demise accompanied by the death notification documents.,"Registration, Means Testing & Contributions"
what happens to the current biometric that are captured,All members will be required to register and get their biometrics taken afresh when the SHI kicks in.,"Registration, Means Testing & Contributions"
who will be the contributors to social health authority,"Every Kenyan household, a non-Kenyan resident, ordinarily residing in Kenya for a period exceeding 12 months, the national government, county governments, and any other employer/donor can contribute to the SHA.","Registration, Means Testing & Contributions"
how will i contribute to sha,"In the case of a household whose income is derived from salaried employment, by a monthly statutory deduction from the wages or salary by the employer. In the case of a household whose income is derived from informal employment, an annual advance contribution will be made to the SHA.","Registration, Means Testing & Contributions"
how much will i contribute to sha,The rate of contributions is 2.75% of individual and household income.,"Registration, Means Testing & Contributions"
concerning the  what happens when the two heads of a household have separate incomes,The combined income for multiple members of a household will be subjected to the 2.75% contribution based on the combined income.,"Registration, Means Testing & Contributions"
if both spouses are employed are both required to make monthly contributions,Yes.,"Registration, Means Testing & Contributions"
who is required to pay the minimum contribution of kes per month,Those whom the means testing tool determine to fall in or below contributions of Ksh 300 will contribute the base premium of Ksh 300. The government will contribute for those who apply for subsidy if falling below this threshold.,"Registration, Means Testing & Contributions"
is there an option for capping the deductions,Deductions are not capped.,"Registration, Means Testing & Contributions"
how will the determination of income for the informal sector be done,Means Testing will be used to determine proxy income based on expenditure patterns.,"Registration, Means Testing & Contributions"
should members wait until means testing is conducted to make contributions,"For salaried employees, contributions will be based on their salaried income. However, for non-salaried income earners, contributions will only be determined using the means testing hence payment will be after means testing.","Registration, Means Testing & Contributions"
if someone transitions or there is a change of income who is responsible for determining the contribution what is the reporting mechanism,The contributor will be required to notify the Social Health Authority on any change in income and they will be informed of the new contribution rates by the authority.,"Registration, Means Testing & Contributions"
are kenyans contributing to all three funds and how do these contributions work,"No. The Primary Healthcare Fund and the Emergency Chronic and Critical Illness Fund will be publicly funded through government budget allocations and available to registered SHA members, while direct contributions will be made to the Social Health Insurance Fund.","Registration, Means Testing & Contributions"
how many times will i contribute to shi,"For salaried/payroll employment households, monthly contributions; For non-payroll households whose income is not derived from salary, by an annual contribution as determined by the means testing instrument.","Registration, Means Testing & Contributions"
will services be accessible if i lose employment formal vs informal,"No, as long as the authority is notified and new contribution arrangements agreed and honored by the contributors.","Registration, Means Testing & Contributions"
is insurance premium financing available for those who cannot afford consistent payments,"Premium financing will be available for those who want to access it in the non-salaried segment. For affordability, the Authority will determine and attach only premiums which the contributor can afford.","Registration, Means Testing & Contributions"
can cooperative societies join sha as groups and make base minimum contributions,"Yes, this is possible.","Registration, Means Testing & Contributions"
what if i am unable to paycontribute to shi,"In the case of households in need of financial assistance as determined by the means testing instrument, the government will subsidize at a rate apportioned from funds appropriated by Parliament and County Assemblies for that purpose.","Registration, Means Testing & Contributions"
which facilities will be contracted and empaneled by sha,A health care provider or a health facility seeking to be contracted under the Social Health Insurance Fund shall make an application to the body responsible for accreditation for quality assurance in the manner prescribed by the regulations.,"Registration, Means Testing & Contributions"
how will i know which facilities or providers around a given area of residence will be covered by sha,"The authority shall, publish on its website and in such other manner as the Authority may deem appropriate, declare the health service providers and healthcare facilities to be contracted for.","Registration, Means Testing & Contributions"
what happens to my current contributions to nhif,All contributions made will be transferred to the Social Health Authority.,"Registration, Means Testing & Contributions"
can i choose my healthcare providers and facilities under sha,Yes.,"Registration, Means Testing & Contributions"
how will sha benefit lowincome and vulnerable populations and plwd,"In the case of households in need of financial assistance as determined by the means testing instrument, by the government at a rate apportioned from funds appropriated by Parliament and County Assemblies.","Registration, Means Testing & Contributions"
are there penalties for defaulters andor late payment,Any person who fails to pay any contribution in respect of any period on or before the day on which payment is due shall be liable to a penalty equal to two percent (2%) of the amount due of the contribution for the period in which the contribution remains unpaid and the total annual contributions.,"Registration, Means Testing & Contributions"
how do i pay penalties,The SHA board will provide guidance on how members will pay penalties.,"Registration, Means Testing & Contributions"
can i get refunded if i do not utilize my contribution,No. Premiums from all contributors will be pooled and utilized to pay health services for those who are in need of them.,"Registration, Means Testing & Contributions"
can i take a private health insurance cover,"Yes, a beneficiary of the fund can still register for private insurance as complementary to the Social Health Insurance.","Registration, Means Testing & Contributions"
for civil servants including hcws what will happen to their enhanced scheme,All Kenyans will be entitled to the same benefit package irrespective of their place and nature of work. Payments will be pegged on income hence transitioning from wage employment to pension will pay the prescribed rate for the same benefit package.,"Benefits, Tariffs & Claims Management"
are civil servants cushioned to seek services from private facilities,"SHA benefits can be accessed in all types of facilities; Public, private, and FBO. Enhanced covers can be provided by the employer on top of the SHA benefits.","Benefits, Tariffs & Claims Management"
what will happen to the school children who were covered under edu afya,The children will be covered under SHA as beneficiaries of their households.,"Benefits, Tariffs & Claims Management"
what is the package for those who opt to retireexit public service,All Kenyans will be entitled to the same benefit package irrespective of their place and nature of work. Payments will be pegged on income hence transitioning from wage employment to pension will pay the prescribed rate for the same benefit package.,"Benefits, Tariffs & Claims Management"
will sha cover travel health insurance,No.,"Benefits, Tariffs & Claims Management"
when will i use my social health insurance fund,"When referred to a level 4, 5, or 6 facility or an empaneled healthcare provider.","Benefits, Tariffs & Claims Management"
how will my benefit package look like in sha,A schedule of benefits attributable to each member of the SHA will be published and made available to each member as provided.,"Benefits, Tariffs & Claims Management"
how do the sha benefits compare with the nhif benefits,"SHA benefits are more enhanced, explicit and expansive compared to the previous NHIF benefits.","Benefits, Tariffs & Claims Management"
how can additional services be added to the essential benefits package,The SHI Act Regulations provides for a form for interested parties to make an appeal to the Benefits and Tariffs Authority to be considered for inclusion or exclusion.,"Benefits, Tariffs & Claims Management"
what happens to retired civil servants under sha,"Like other Kenyans, they will be new retirees and will need to notify SHA of the change in income and hence will be informed of the new premiums and modalities of paying for them.","Benefits, Tariffs & Claims Management"
how does the essential benefits package impact premiums,"Change in the benefit package will automatically have impact on the amount of funds required to fund the new package, and hence the premiums attributable to each household will change accordingly.","Benefits, Tariffs & Claims Management"
how does one get to know what tariffs are in use,Tariffs are published in the Regulations Schedule.,"Benefits, Tariffs & Claims Management"
which facilities will one access the sha services where do i access services,Health Providers contracted by SHA.,Access & Quality of Service Provision
is there a waiting period to access services,No waiting period.,Access & Quality of Service Provision
can one receive phc services in referral hospitals,"No, only facilities contracted to offer PHC services will offer such services, basically in the category of Levels 2, 3, and 4.",Access & Quality of Service Provision
what happens when one falls sick when far from the selected facility,"Levels 2-3 services will be sought within the assigned Network (PCN), and there will be mechanisms for one PCN to reimburse for a member who accesses services in another PCN not assigned to, but within limits of the member's PCN. Levels 4-6 will be accessed through a robust referral system from one level to another.",Access & Quality of Service Provision
there is a need for measures to enhance the quality of care including the role of counties in preventive services,The Quality-of-Care Bill is underway to optimize service delivery and assure quality of health services.,Access & Quality of Service Provision
where should providers claim payment of pending bills,"SHA has absorbed all NHIF liabilities, therefore providers should claim from SHA.",Access & Quality of Service Provision
what will be the role of sha in ensuring commodities are available in healthcare facilities,"SHA will reimburse healthcare providers based on the service provided including medicines and procedures, and the service providers have a responsibility of ensuring they have capacity to offer the same.",Access & Quality of Service Provision
how can individuals in kenya file complaints or seek assistance under social health authority,The Social Health Authority will develop a complaint resolution mechanism in line with guidelines of the Mwongozo code of governance for state corporations.,Feedback and Dispute Resolution
which takes precedence between procurement tribunal and sha tribunal in procurement disputes when contracting and empanelment,The Public Procurement Tribunal as provisioned takes precedence for all public procurements as defined in the Public Procurement and Assets Disposal Act.,Feedback and Dispute Resolution
